0.0,3.093101297018251E40,-6.854237161581204E40,-3.7611358645629535E40
10.0,3.0930967889587764E40,-6.854233597855649E40,-3.7611368088968725E40
20.0,3.093083753702854E40,-6.854221566372289E40,-3.7611378126694356E40
30.0,3.0930621923802515E40,-6.854201068227787E40,-3.7611388758475356E40
40.0,3.0930321068739595E40,-6.8541721052668545E40,-3.761139998392895E40
50.0,3.092993499819593E40,-6.854134680081556E40,-3.761141180261963E40
60.0,3.092946374604543E40,-6.854088796010579E40,-3.7611424214060357E40
70.0,3.092890735366918E40,-6.854034457138045E40,-3.7611437217711266E40
80.0,3.0928265869942316E40,-6.853971668292301E40,-3.7611450812980693E40
90.0,3.0927539351218216E40,-6.853900435044395E40,-3.7611464999225735E40
100.0,3.092672786131098E40,-6.853820763706231E40,-3.761147977575133E40
110.0,3.09258314714748E40,-6.853732661328616E40,-3.7611495141811354E40
120.0,3.0924850260382077E40,-6.853636135699054E40,-3.761151109660846E40
130.0,3.0923784314097763E40,-6.853531195339207E40,-3.761152763929431E40
140.0,3.092263372605247E40,-6.853417849502261E40,-3.7611544768970135E40
150.0,3.0921398597013464E40,-6.853296108169972E40,-3.761156248468626E40
160.0,3.092007903505238E40,-6.853165982049564E40,-3.761158078544326E40
170.0,3.091867515551148E40,-6.85302748257032E40,-3.761159967019172E40
180.0,3.0917187080967415E40,-6.852880621879993E40,-3.761161913783251E40
190.0,3.091561494119314E40,-6.852725412841094E40,-3.7611639187217795E40
200.0,3.091395887311703E40,-6.852561869026699E40,-3.7611659817149954E40
210.0,3.09122190207804E40,-6.852390004716395E40,-3.7611681026383553E40
220.0,3.091039553529302E40,-6.85220983489178E40,-3.761170281362478E40
230.0,3.090848857478549E40,-6.852021375231731E40,-3.761172517753182E40
240.0,3.090649830436132E40,-6.851824642107702E40,-3.76117481167157E40
250.0,3.090442489604567E40,-6.851619652578581E40,-3.7611771629740144E40
260.0,3.090226852873204E40,-6.851406424385455E40,-3.7611795715122506E40
270.0,3.090002938812819E40,-6.851184975946203E40,-3.7611820371333837E40
280.0,3.089770766669885E40,-6.850955326349838E40,-3.7611845596799525E40
290.0,3.0895303563607816E40,-6.850717495350735E40,-3.761187138989954E40
300.0,3.0892817284656644E40,-6.850471503362603E40,-3.7611897748969387E40
310.0,3.0890249042223564E40,-6.850217371452339E40,-3.7611924672299825E40
320.0,3.088759905519833E40,-6.849955121333652E40,-3.761195215813819E40
330.0,3.0884867548917863E40,-6.849684775360569E40,-3.7611980204687827E40
340.0,3.0882054755097714E40,-6.849406356520775E40,-3.7612008810110035E40
350.0,3.087916091176434E40,-6.849119888428736E40,-3.761203797252302E40
360.0,3.0876186263183575E40,-6.84882539531877E40,-3.7612067690004124E40
370.0,3.0873131059789395E40,-6.848522902037815E40,-3.7612097960588753E40
380.0,3.086999555811002E40,-6.848212434038159E40,-3.761212878227157E40
390.0,3.086678002069302E40,-6.847894017370076E40,-3.761216015300774E40
400.0,3.0863484716029184E40,-6.847567678674127E40,-3.761219207071209E40
410.0,3.0860109918474594E40,-6.847233445173576E40,-3.7612224533261168E40
420.0,3.085665590817182E40,-6.846891344666451E40,-3.761225753849269E40
430.0,3.085312297096991E40,-6.846541405517658E40,-3.7612291084206667E40
440.0,3.0849511398342366E40,-6.846183656650831E40,-3.7612325168165947E40
450.0,3.0845821487305274E40,-6.84581812754023E40,-3.761235978809702E40
460.0,3.0842053540333437E40,-6.845444848202314E40,-3.7612394941689703E40
470.0,3.0838207865275297E40,-6.845063849187446E40,-3.761243062659916E40
480.0,3.083428477526786E40,-6.84467516157134E40,-3.7612466840445536E40
490.0,3.0830284588649492E40,-6.844278816946442E40,-3.761250358081493E40
500.0,3.0826207628872905E40,-6.843874847413267E40,-3.7612540845259763E40
510.0,3.0822054224416076E40,-6.843463285571564E40,-3.7612578631299563E40
520.0,3.0817824708693784E40,-6.843044164511625E40,-3.7612616936422463E40
530.0,3.081351941996698E40,-6.842617517805101E40,-3.7612655758084026E40
540.0,3.0809138701252623E40,-6.842183379496232E40,-3.76126950937097E40
550.0,3.0804682900232224E40,-6.841741784092638E40,-3.7612734940694157E40
560.0,3.080015236915972E40,-6.841292766556262E40,-3.7612775296402903E40
570.0,3.079554746476941E40,-6.840836362294186E40,-3.761281615817245E40
580.0,3.079086854818273E40,-6.84037260714935E40,-3.761285752331077E40
590.0,3.0786115984814758E40,-6.839901537391374E40,-3.7612899389098986E40
600.0,3.0781290144280735E40,-6.839423189707114E40,-3.7612941752790403E40
610.0,3.077639140030148E40,-6.838937601191431E40,-3.761298461161283E40
620.0,3.077142013060916E40,-6.83844480933774E40,-3.7613027962768236E40
630.0,3.0766376716852447E40,-6.8379448520286315E40,-3.761307180343387E40
640.0,3.0761261544501523E40,-6.837437767526395E40,-3.761311613076243E40
650.0,3.0756075002753042E40,-6.836923594463655E40,-3.7613160941883504E40
660.0,3.0750817484434636E40,-6.836402371833813E40,-3.7613206233903495E40
670.0,3.0745489385909835E40,-6.8358741389816835E40,-3.7613252003907E40
680.0,3.074009110698251E40,-6.835338935593893E40,-3.761329824895642E40
690.0,3.0734623050801475E40,-6.834796801689575E40,-3.761334496609427E40
700.0,3.0729085623765284E40,-6.834247777610728E40,-3.7613392152342E40
710.0,3.0723479235426763E40,-6.833691904012902E40,-3.761343980470226E40
720.0,3.0717804298398362E40,-6.833129221855666E40,-3.76134879201583E40
730.0,3.0712061228256617E40,-6.832559772393214E40,-3.7613536495675527E40
740.0,3.0706250443447905E40,-6.831983597164998E40,-3.761358552820208E40
750.0,3.070037236519372E40,-6.831400737986221E40,-3.7613635014668495E40
760.0,3.0694427417396833E40,-6.830811236938651E40,-3.761368495198967E40
770.0,3.0688416026546924E40,-6.830215136361222E40,-3.7613735337065293E40
780.0,3.0682338621627754E40,-6.829612478840681E40,-3.7613786166779053E40
790.0,3.0676195634023365E40,-6.829003307202504E40,-3.7613837438001677E40
800.0,3.0669987497426345E40,-6.828387664501565E40,-3.7613889147589303E40
810.0,3.0663714647744753E40,-6.827765594013069E40,-3.761394129238594E40
820.0,3.065737752301128E40,-6.827137139223388E40,-3.7613993869222603E40
830.0,3.0650976563291527E40,-6.826502343821011E40,-3.7614046874918586E40
840.0,3.064451221059372E40,-6.825861251687665E40,-3.7614100306282935E40
850.0,3.063798490877891E40,-6.825213906889213E40,-3.761415416011322E40
860.0,3.063139510347137E40,-6.824560353666933E40,-3.761420843319796E40
870.0,3.0624743241970117E40,-6.823900636428605E40,-3.761426312231593E40
880.0,3.061802977316101E40,-6.823234799739851E40,-3.7614318224237496E40
890.0,3.0611255147429327E40,-6.822562888315447E40,-3.761437373572514E40
900.0,3.0604419816573347E40,-6.821884947010693E40,-3.7614429653533586E40
910.0,3.0597524233718663E40,-6.821201020812977E40,-3.7614485974411108E40
920.0,3.0590568853233094E40,-6.820511154833229E40,-3.76145426950992E40
930.0,3.058355413064258E40,-6.819815394297692E40,-3.761459981233434E40
940.0,3.0576480522548036E40,-6.819113784539488E40,-3.761465732284685E40
950.0,3.056934848654256E40,-6.818406370990627E40,-3.7614715223363714E40
960.0,3.056215848113004E40,-6.817693199173745E40,-3.7614773510607414E40
970.0,3.055491096564468E40,-6.816974314694106E40,-3.761483218129638E40
980.0,3.054760640017071E40,-6.816249763231767E40,-3.7614891232146964E40
990.0,3.05402452454641E40,-6.815519590533693E40,-3.7614950659872835E40
